processors,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
2, 0.023304, 0.025881, 0.152444, 0.025276, 0.019162, 0.031045, 0.022852, 0.150553, 0.018403, 0.018265
3, 0.159607, 0.033805, 0.127831, 0.145355, 0.129392, 0.104714, 0.024682, 0.03286, 0.147857, 0.165131
4, 0.119472, 0.120014, 0.089549, 0.018407, 0.017378, 0.132188, 0.162661, 0.081139, 0.017267, 0.078781
5, 0.126041, 0.052879, 0.105367, 0.076839, 0.069625, 0.033644, 0.096422, 0.096587, 0.173584, 0.230857
6, 0.079358, 0.032588, 0.058138, 0.020725, 0.147563, 0.073708, 0.061346, 0.061975, 0.076441, 0.059473
7, 0.057913, 0.035603, 0.090321, 0.023631, 0.06321, 0.06012, 0.069202, 0.059848, 0.045761, 0.111139
8, 0.028222, 0.020636, 0.066674, 0.047757, 0.083972, 0.043539, 0.225088, 0.04689, 0.01967, 0.062183
9, 0.053976, 0.147873, 0.03546, 0.025995, 0.195124, 0.026159, 0.064398, 0.05246, 0.128243, 0.051989
10, 0.033947, 0.154258, 0.049219, 0.087233, 0.0281, 0.101781, 0.017479, 0.045733, 0.052197, 0.0348
11, 0.222578, 0.033222, 0.03223, 0.061729, 0.019341, 0.064157, 0.042409, 0.036684, 0.155368, 0.086272
12, 0.070358, 0.063148, 0.050654, 0.06002, 0.065456, 0.167681, 0.05434, 0.091538, 0.072765, 0.063376
13, 0.16757, 0.0932, 0.158945, 0.162971, 0.032033, 0.126008, 0.035984, 0.046801, 0.088224, 0.179485
14, 0.025138, 0.099996, 0.096805, 0.029723, 0.048304, 0.072126, 0.050514, 0.092487, 0.069797, 0.081645
15, 0.089736, 0.145808, 0.174861, 0.149143, 0.056255, 0.031145, 0.124786, 0.160704, 0.130863, 0.157767
16, 0.100222, 0.037882, 0.101243, 0.076996, 0.03405, 0.083816, 0.070684, 0.183481, 0.067838, 0.050067
