processors,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1, 0.496355, 0.010491, 0.009289, 0.012875, 0.009701, 0.010771, 0.01075, 0.009734, 0.009979, 0.013888
2, 0.016532, 0.013281, 0.015922, 0.014631, 0.018466, 0.016092, 0.014871, 0.01541, 0.01485, 0.01791
3, 0.013436, 0.03973, 0.01848, 0.017326, 0.03823, 0.016669, 0.012628, 0.016248, 0.015012, 0.027617
4, 0.015566, 0.041647, 0.037372, 0.021315, 0.015404, 0.015654, 0.015197, 0.036774, 0.015954, 0.037514
5, 0.042516, 0.013203, 0.011883, 0.03629, 0.025152, 0.037623, 0.014331, 0.012267, 0.013703, 0.026323
6, 0.019349, 0.037517, 0.030798, 0.018441, 0.013546, 0.022501, 0.038465, 0.013275, 0.014178, 0.017936
7, 0.013878, 0.034028, 0.015331, 0.025495, 0.015791, 0.014609, 0.013768, 0.013353, 0.014264, 0.013183
8, 0.015865, 0.016085, 0.013894, 0.013647, 0.016152, 0.019542, 0.017235, 0.013289, 0.014023, 0.0137
9, 0.020039, 0.014783, 0.014309, 0.013987, 0.014592, 0.013938, 0.016644, 0.020002, 0.013964, 0.020156
10, 0.013593, 0.021115, 0.014024, 0.014137, 0.020632, 0.013852, 0.013574, 0.015288, 0.013978, 0.028663
11, 0.021745, 0.043355, 0.022926, 0.015531, 0.015463, 0.012622, 0.021962, 0.018652, 0.015593, 0.016358
12, 0.038641, 0.021202, 0.02292, 0.02882, 0.016799, 0.015328, 0.030389, 0.01753, 0.014608, 0.021764
13, 0.014399, 0.026052, 0.022556, 0.013869, 0.019338, 0.017213, 0.01768, 0.022712, 0.032705, 0.018032
14, 0.018112, 0.013809, 0.014985, 0.02747, 0.019993, 0.027199, 0.016448, 0.018064, 0.016259, 0.026466
15, 0.020313, 0.014321, 0.015287, 0.01505, 0.014236, 0.018278, 0.019664, 0.016261, 0.017947, 0.015724
16, 0.019556, 0.018023, 0.013597, 0.012379, 0.015327, 0.020325, 0.014235, 0.015974, 0.020415, 0.019746
