processors,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
2, 0.0705552, 0.0744862, 0.071682, 0.074842, 0.0684742, 0.0811162, 0.0943392, 0.0684942, 0.177932, 0.1745452
3, 0.4004143, 0.2048853, 0.1235753, 0.0812883, 0.1160263, 0.2053293, 0.120273, 0.1435513, 0.1444013, 0.2077113
4, 0.1160294, 0.1488514, 0.2328234, 0.0782254, 0.2288754, 0.2223854, 0.2937844, 0.2383664, 0.1127514, 0.1472674
5, 0.3161115, 0.0612685, 0.3177275, 0.2758995, 0.1920155, 0.3265235, 0.1671865, 0.3288295, 0.1710715, 0.254035
6, 0.1281216, 0.186316, 0.0733996, 0.0627396, 0.1224936, 0.1919616, 0.1538046, 0.0630966, 0.2576126, 0.2417366
7, 0.3069997, 0.2896057, 0.0748117, 0.2287377, 0.1672157, 0.183797, 0.1714467, 0.1540387, 0.122147, 0.211097
8, 0.2010158, 0.4157738, 0.115498, 0.0625148, 0.1277128, 0.3459678, 0.0895268, 0.1815358, 0.1242178, 0.1591088
9, 0.1096929, 0.125539, 0.1621669, 0.1708169, 0.0926399, 0.1307749, 0.1313779, 0.1321649, 0.1333399, 0.0630359
10, 0.13936910, 0.14646410, 0.14725310, 0.16608310, 0.12804110, 0.32881410, 0.13216810, 0.13330610, 0.18761710, 0.13970910
11, 0.11857711, 0.22907511, 0.21394911, 0.29841311, 0.08070411, 0.15861611, 0.3193911, 0.11966711, 0.14935611, 0.06767911
12, 0.31661912, 0.13780612, 0.24608212, 0.32072212, 0.16547712, 0.16373112, 0.15427912, 0.12290212, 0.09515212, 0.15349612
13, 0.26018113, 0.11898913, 0.23713813, 0.16313, 0.12979613, 0.17744913, 0.17543513, 0.40901713, 0.10563213, 0.172213
14, 0.18805614, 0.18679814, 0.27848814, 0.2002514, 0.1948614, 0.15006514, 0.23436714, 0.18380614, 0.21545114, 0.14677114
15, 0.34064815, 0.16920515, 0.11427515, 0.16763415, 0.17271515, 0.15675715, 0.14592715, 0.1491515, 0.25339915, 0.08839115
16, 0.08645116, 0.11702816, 0.12512616, 0.14184816, 0.17004416, 0.1669816, 0.18485616, 0.31844716, 0.1674716, 0.0878416
